feature,importance
V218,0.07269187
V258,0.06815179
V91,0.050903223
V294,0.041434374
V70,0.040224086
V201,0.02982991
R_emaildomain,0.026326105
C8,0.015096783
V308,0.012802628
V88,0.012374825
V283,0.010455435
V187,0.010296726
C14,0.009876706
V317,0.009324704
V257,0.009233618
V318,0.008235321
V49,0.008006612
V48,0.007956338
id_17,0.007730716
card6,0.007506762
V295,0.0072204913
V312,0.007067822
V34,0.0063455133
V287,0.0060728104
V29,0.0057934658
C1,0.005106019
V90,0.004856265
V128,0.004501785
merch_mean_amt,0.0044925315
C11,0.004417666
M4,0.0042984295
C4,0.004273763
D3,0.0042431424
V102,0.0042026998
V327,0.004132571
amt_deviation_from_merch,0.0037485631
V246,0.0036545645
C2,0.003617478
V322,0.0036168653
V95,0.0035608956
C5,0.0035118943
V315,0.0032647646
V138,0.0032605506
V281,0.0032314837
C6,0.0032267002
C13,0.0031397184
DeviceType,0.003051987
V69,0.0030304033
V189,0.002927586
V296,0.0028888744
unique_devices_for_card,0.0028818299
M5,0.002876776
V131,0.0028744293
V45,0.0028516932
V200,0.0027623987
V289,0.002742598
V129,0.002713914
D2,0.0027022155
V65,0.0026300047
V314,0.002625928
V309,0.0024538743
addr2,0.0023983773
ProductCD,0.002384602
card3,0.0023782768
C10,0.0023170707
M6,0.0023017554
V87,0.0022464662
V76,0.002204016
V306,0.00220086
id_12,0.0021969115
V228,0.0021821738
C12,0.0021806317
V336,0.0021736193
card_mean_amt,0.0021601508
V54,0.0021177956
V280,0.0020738428
V149,0.0020688465
V285,0.0020585833
V67,0.0020264396
merch_std_amt,0.0019615744
V103,0.0019525179
M3,0.0019498596
V151,0.0019361122
V62,0.0019320821
C3,0.0019289884
V61,0.0018890491
V92,0.0018717428
D1,0.0018525445
id_09,0.0018417987
D4,0.0018394749
D15,0.0018151023
id_30,0.001792187
V320,0.0017845934
V33,0.0017685523
cards_at_address,0.0017558124
V310,0.001731656
card_std_amt,0.0017253304
V53,0.0017241092
email_domain_txn_count,0.0017219093
D11,0.00170963
V64,0.0017060002
C9,0.0017042083
D10,0.0016954882
V307,0.0016935754
V98,0.0016889024
V30,0.0016795016
V133,0.0016794626
V72,0.0016670792
V286,0.0016652234
V26,0.0016646414
M2,0.0016599778
V99,0.0016504099
V152,0.0016463134
TransactionDT,0.0016243481
V97,0.0016185618
V83,0.0016097784
V71,0.0016056515
card2,0.0015972385
P_emaildomain,0.0015875009
V94,0.0015699683
id_32,0.0015693639
V126,0.0015564543
V333,0.0015535442
dist1,0.0015457427
V177,0.0015339854
cards_with_email_domain,0.0015292305
V191,0.0015218519
V130,0.0015189982
card1,0.0015152508
D6,0.0015124745
V261,0.0014873511
V171,0.0014858575
card_median_amt,0.0014798306
V313,0.0014784619
V74,0.0014689263
V298,0.0014597125
V21,0.0014533616
V210,0.0014390019
V165,0.0014389353
V134,0.0014379278
V55,0.0014254734
V19,0.0014240749
V13,0.0014170399
addr1,0.0014147417
V159,0.0014126095
V326,0.001409015
V51,0.0014069802
V252,0.0014060661
V57,0.0013998599
V160,0.0013970959
V12,0.001395873
V93,0.0013925429
id_03,0.0013870889
V245,0.0013856493
V63,0.0013847154
V231,0.001381985
V23,0.0013709057
V37,0.0013611118
card5,0.0013598873
V38,0.0013528243
D5,0.0013521453
V96,0.0013508503
V43,0.0013437326
V11,0.001341792
V66,0.0013358218
TransactionAmt,0.0013112043
V80,0.001308774
unique_cards_on_device,0.0012988055
V311,0.0012954146
V250,0.0012931708
V136,0.0012923416
card4,0.0012847065
id_18,0.0012822443
V35,0.0012683605
V56,0.0012613124
V124,0.0012608833
V78,0.0012575348
V324,0.0012573724
D8,0.0012450514
V173,0.0012308477
V290,0.0012228698
V75,0.0012150251
V25,0.0012060042
V297,0.0012053028
V162,0.0011976565
V262,0.0011879973
M9,0.0011859388
V82,0.0011858948
id_36,0.001172847
V300,0.001165344
V24,0.0011583378
V301,0.0011557826
V7,0.0011481985
V36,0.0011305916
DeviceInfo,0.0011270533
V20,0.0011258476
id_29,0.00112204
V291,0.0011209111
id_05,0.0011207854
V46,0.0011198863
V163,0.0011193589
w1h_txn_count,0.0011187304
V145,0.001103207
w24h_txn_count,0.001101233
V244,0.0010984532
V86,0.0010951569
V44,0.0010949678
V211,0.0010879239
V337,0.0010765551
w24h_amount_sum,0.00107412
V188,0.0010717276
w6h_amount_sum,0.0010588166
V115,0.001056782
V148,0.0010549084
V110,0.0010529304
V321,0.0010490378
w6h_txn_count,0.0010449429
V109,0.0010436333
w1h_amount_sum,0.001035038
V73,0.0010339884
V79,0.0010293237
V156,0.0010289802
V170,0.0010262999
id_33,0.0010220916
amt_zscore_from_card_mean,0.001019325
id_01,0.001013803
V127,0.0010116139
V198,0.0010036041
M8,0.0010005373
V10,0.000994739
V335,0.0009921829
id_16,0.0009876665
V60,0.000987453
V1,0.0009835928
hour_of_day,0.000981625
V6,0.0009780077
id_34,0.0009765095
V155,0.0009659459
V81,0.0009614532
V237,0.0009571164
D12,0.0009521585
V40,0.00094851234
V47,0.00094786624
V229,0.00094766845
V5,0.0009423407
V282,0.00093743444
V323,0.00093660346
V157,0.00093083596
V319,0.00092667964
V77,0.0009243338
id_06,0.00092061545
V197,0.0009127175
D13,0.0009097863
V278,0.00090919004
V31,0.0009084764
V194,0.00090373534
V273,0.0008998106
V105,0.00089870824
V292,0.00089773047
V304,0.00089689664
V3,0.0008967914
V279,0.0008951582
id_02,0.0008914344
V207,0.0008905878
amt_ratio_to_median,0.0008865235
V217,0.00087164284
V206,0.00087031315
V137,0.00085763494
V172,0.0008561579
V176,0.0008560454
V248,0.0008529001
time_since_last_txn,0.0008509992
M7,0.0008492887
V293,0.00084875885
V161,0.00084841705
id_15,0.00084282935
V182,0.0008426773
V135,0.0008420741
V4,0.0008387969
id_31,0.00083337026
V50,0.00083137566
V227,0.00083101384
V316,0.00082999753
device_card_pair_count,0.0008177109
V2,0.0008129262
id_21,0.00081101106
M1,0.0008071487
V299,0.0007954126
V213,0.00079508644
V332,0.00079322455
V59,0.0007918477
V275,0.00078750355
V253,0.00078647555
V183,0.00078422006
V268,0.00078390655
id_14,0.00078334584
D14,0.00077449135
V100,0.00077075727
V331,0.0007700836
V154,0.0007698546
is_night_txn,0.0007682707
V212,0.0007654466
V140,0.00076152245
V224,0.0007567266
V22,0.00075567246
V222,0.00075469207
V329,0.000752156
V219,0.0007482963
V8,0.00074348674
V251,0.00074160495
id_20,0.0007344184
V338,0.00072880375
id_24,0.00072448596
V249,0.0007149775
V265,0.00071082934
V164,0.00070764223
V108,0.0007052267
id_13,0.00070410146
V143,0.00069744844
V196,0.0006792928
V226,0.00067263155
V199,0.00067136786
V52,0.0006652674
dist2,0.000662762
V269,0.00066192815
V175,0.000660078
V284,0.0006556251
V106,0.00065548037
C7,0.0006509737
id_11,0.00064900727
V142,0.0006451917
V139,0.0006417789
V239,0.0006372772
V242,0.00063432095
V225,0.0006316774
V302,0.0006274393
V180,0.00061979814
V113,0.00061693374
V288,0.0006167243
V209,0.00061410357
V58,0.0006067444
V216,0.0006039075
V9,0.0006015222
V123,0.00059881754
V272,0.0005977506
V234,0.0005937054
V168,0.0005889021
V166,0.0005848041
V259,0.00058420806
V184,0.0005821621
V208,0.0005797096
V221,0.0005790996
V243,0.000576018
V158,0.00057541905
id_07,0.0005745842
V260,0.0005731801
V85,0.0005675242
V193,0.0005666004
id_26,0.0005660388
V203,0.00056582235
V334,0.00056537695
D7,0.000558682
id_23,0.0005549989
day_of_week,0.00055234024
V238,0.00055187667
V339,0.0005472863
V178,0.00054456166
V247,0.00054115243
V150,0.0005389105
id_19,0.0005351075
V167,0.0005349205
id_38,0.000533577
id_28,0.00052275776
id_25,0.0005203181
V111,0.00051907334
V144,0.0005189312
V192,0.0005149946
V16,0.0005137217
V266,0.00050846516
V118,0.0005058275
V254,0.00050514285
V185,0.0005045592
V169,0.00050224055
V303,0.00049609353
V112,0.0004960557
V256,0.00049220317
V215,0.00049207703
V267,0.0004896749
V104,0.00048933225
V204,0.00048220684
V270,0.00047488775
D9,0.000472966
V264,0.00047055236
V214,0.00046992645
V220,0.00046929467
V271,0.000463934
V181,0.00046029213
V274,0.00045285842
V17,0.00044588838
V232,0.00044563162
V141,0.00044514265
is_weekend,0.00044194842
id_37,0.00044035586
V84,0.000439394
V190,0.00043325318
V233,0.00042766248
V277,0.00042640616
id_04,0.0004148499
V223,0.0004067769
V195,0.00040651488
id_10,0.00040650132
V255,0.00040412456
V186,0.00040391143
V101,0.00040326183
V146,0.00039362133
V202,0.0003871389
V132,0.0003866811
id_08,0.00038330676
V32,0.00037785756
V205,0.00037613264
V42,0.0003752328
V116,0.00035749064
V174,0.00035684713
V328,0.00033793904
V276,0.0003365501
V125,0.0003352761
V114,0.00033486227
V18,0.0003303883
V263,0.00032861656
V122,0.00031277866
V39,0.000310349
V325,0.00030604473
V153,0.00029018437
V14,0.00028979106
V236,0.00027973595
V147,0.00026738754
V235,0.0002114746
V179,0.00018127149
V230,0.0001750424
V15,6.13231e-05
V121,3.179213e-05
V107,0.0
address_is_shared,0.0
V68,0.0
V89,0.0
V305,0.0
id_22,0.0
V117,0.0
V119,0.0
V120,0.0
email_domain_is_rare,0.0
V41,0.0
email_is_highrisk,0.0
id_35,0.0
id_27,0.0
V28,0.0
V27,0.0
V240,0.0
V330,0.0
V241,0.0
